iter	Passed	Remaining
455	886	1057
456	890	1058
457	892	1056
458	894	1054
459	899	1055
460	900	1053
461	905	1053
462	906	1051
463	908	1049
464	909	1046
465	911	1044
466	912	1041
467	914	1039
468	916	1037
469	917	1034
470	919	1032
471	920	1029
472	922	1027
473	923	1024
474	925	1022
475	926	1019
476	927	1017
477	929	1014
478	930	1012
479	933	1010
480	934	1008
481	935	1005
482	937	1003
483	938	1000
484	940	998
485	941	995
486	943	993
487	944	991
488	946	989
489	948	987
490	950	985
491	951	982
492	953	980
493	954	978
494	956	976
495	958	974
496	960	971
497	963	971
498	966	970
499	968	968
500	971	967
501	973	965
502	975	963
503	979	963
504	982	962
505	984	961
506	988	961
507	1011	979
508	1013	978
509	1021	981
510	1024	980
511	1030	982
512	1034	982
513	1041	984
514	1043	982
515	1045	980
516	1047	979
517	1061	987
518	1062	985
519	1065	983
520	1067	981
521	1071	980
522	1073	978
523	1075	977
524	1078	975
525	1082	975
526	1090	978
527	1092	977
528	1096	976
529	1102	977
530	1105	976
531	1107	974
532	1116	977
533	1118	976
534	1120	974
535	1123	972
536	1125	970
537	1137	976
538	1140	975
539	1143	974
540	1148	974
541	1150	972
542	1152	969
543	1154	967
544	1163	971
545	1166	969
546	1169	968
547	1171	966
548	1182	971
549	1185	969
550	1187	967
551	1189	965
552	1191	963
553	1195	962
554	1198	960
555	1200	958
556	1203	956
557	1208	957
558	1210	955
559	1212	952
560	1215	950
561	1218	949
562	1222	948
563	1224	946
564	1226	944
565	1228	941
566	1230	939
567	1232	937
568	1236	936
569	1239	935
570	1241	932
571	1243	930
572	1246	928
573	1248	926
574	1253	926
575	1256	924
576	1259	923
577	1261	921
578	1263	919
579	1267	917
580	1269	915
581	1271	913
582	1273	911
583	1276	908
584	1277	906
585	1279	903
586	1282	902
587	1284	899
588	1286	897
589	1287	894
590	1289	892
591	1291	890
592	1293	887
593	1294	885
594	1297	883
595	1300	881
596	1301	878
597	1303	876
598	1304	873
599	1306	870
600	1308	868
601	1311	867
602	1313	864
603	1315	862
604	1319	861
605	1321	859
606	1323	856
607	1326	855
608	1329	853
609	1331	851
610	1333	849
611	1336	847
612	1337	844
613	1339	841
614	1342	840
615	1344	837
616	1345	835
617	1347	833
618	1349	830
619	1352	828
620	1357	828
621	1359	826
622	1361	823
623	1363	821
624	1364	818
625	1366	816
626	1368	814
627	1371	812
628	1373	810
629	1375	808
630	1377	805
631	1379	803
632	1381	800
633	1382	798
634	1386	797
635	1388	794
636	1390	792
637	1391	789
638	1393	787
639	1395	784
640	1397	782
641	1400	780
642	1402	778
643	1403	776
644	1405	773
645	1407	771
646	1408	768
647	1411	766
648	1415	765
649	1417	763
650	1419	761
651	1422	759
652	1424	756
653	1425	754
654	1429	752
655	1430	750
656	1432	747
657	1434	745
658	1436	743
659	1437	740
660	1439	738
661	1441	735
662	1444	734
663	1446	732
664	1448	729
665	1449	727
666	1452	724
667	1454	722
668	1455	720
669	1459	719
670	1464	717
671	1466	715
672	1468	713
673	1470	711
674	1476	710
675	1478	708
676	1480	706
677	1483	704
678	1485	702
679	1487	699
680	1489	697
681	1491	695
682	1493	693
683	1495	690
684	1498	689
685	1502	687
686	1504	685
687	1506	683
688	1508	680
689	1510	678
690	1512	676
691	1514	673
692	1518	672
693	1520	670
694	1521	667
695	1524	665
696	1526	663
697	1528	661
698	1532	659
699	1534	657
700	1536	655
701	1537	652
702	1540	650
703	1543	648
704	1546	647
705	1550	645
706	1552	643
707	1554	641
708	1556	638
709	1558	636
710	1563	635
711	1565	633
712	1568	631
713	1571	629
714	1573	627
715	1578	625
716	1580	623
717	1582	621
718	1584	619
719	1586	616
720	1587	614
721	1591	612
722	1593	610
723	1595	608
724	1597	605
725	1599	603
726	1601	601
727	1603	598
728	1610	598
729	1614	597
730	1617	595
731	1619	592
732	1623	591
733	1625	588
734	1627	586
735	1629	584
736	1631	582
737	1633	579
738	1635	577
739	1637	575
740	1639	573
741	1642	571
742	1644	568
743	1646	566
744	1648	564
745	1652	562
746	1654	560
747	1656	558
748	1658	555
749	1660	553
750	1661	551
751	1666	549
752	1668	547
753	1669	544
754	1671	542
755	1673	540
756	1674	537
757	1676	535
758	1678	532
759	1680	530
760	1682	528
761	1683	525
762	1685	523
763	1687	521
764	1689	518
765	1691	516
766	1695	515
767	1697	512
768	1700	510
769	1702	508
770	1704	506
771	1705	503
772	1709	502
773	1711	499
774	1713	497
775	1715	495
776	1717	492
777	1719	490
778	1721	488
779	1726	486
780	1728	484
781	1730	482
782	1732	480
783	1734	477
784	1736	475
785	1740	473
786	1742	471
787	1745	469
788	1747	467
789	1749	465
790	1750	462
791	1755	461
792	1757	458
793	1759	456
794	1761	454
795	1763	452
796	1765	449
797	1767	447
798	1769	445
799	1771	442
800	1773	440
801	1775	438
802	1777	436
803	1779	433
804	1780	431
805	1782	429
806	1784	426
807	1786	424
808	1788	422
809	1790	420
810	1792	417
811	1796	416
812	1800	414
813	1804	412
814	1805	409
815	1807	407
816	1811	405
817	1813	403
818	1815	401
819	1817	398
820	1819	396
821	1821	394
822	1823	392
823	1827	390
824	1829	387
825	1830	385
826	1832	383
827	1834	381
828	1836	378
829	1838	376
830	1840	374
831	1842	372
832	1844	369
833	1846	367
834	1848	365
835	1849	362
836	1851	360
837	1855	358
838	1857	356
839	1858	354
840	1860	351
841	1862	349
842	1864	347
843	1865	344
844	1867	342
845	1870	340
846	1872	338
847	1874	335
848	1875	333
849	1877	331
850	1879	329
851	1881	326
852	1884	324
853	1887	322
854	1889	320
855	1891	318
856	1893	315
857	1895	313
858	1897	311
859	1899	309
860	1901	307
861	1903	304
862	1905	302
863	1906	300
864	1908	297
865	1910	295
866	1912	293
867	1915	291
868	1917	288
869	1918	286
870	1920	284
871	1922	282
872	1923	279
873	1925	277
874	1929	275
875	1930	273
876	1932	271
877	1934	268
878	1936	266
879	1938	264
880	1940	262
881	1941	259
882	1945	257
883	1947	255
884	1948	253
885	1950	250
886	1952	248
887	1953	246
888	1954	244
889	1956	241
890	1958	239
891	1960	237
892	1961	235
893	1963	232
894	1965	230
895	1966	228
896	1968	226
897	1969	223
898	1971	221
899	1974	219
900	1975	217
901	1977	214
902	1979	212
903	1981	210
904	1982	208
905	1984	205
906	1986	203
907	1988	201
908	1989	199
909	1991	197
910	1993	194
911	1995	192
912	1996	190
913	1998	188
914	2000	185
915	2002	183
916	2004	181
917	2005	179
918	2007	176
919	2008	174
920	2009	172
921	2011	170
922	2012	167
923	2014	165
924	2016	163
925	2018	161
926	2019	159
927	2021	156
928	2023	154
929	2024	152
930	2026	150
931	2027	147
932	2031	145
933	2033	143
934	2034	141
935	2036	139
936	2037	137
937	2039	134
938	2041	132
939	2042	130
940	2045	128
941	2047	126
942	2048	123
943	2049	121
944	2051	119
945	2052	117
946	2054	114
947	2055	112
948	2056	110
949	2060	108
950	2061	106
951	2063	104
952	2064	101
953	2065	99
954	2067	97
955	2068	95
956	2069	93
957	2071	90
958	2073	88
959	2075	86
960	2076	84
961	2078	82
962	2080	79
963	2081	77
964	2082	75
965	2084	73
966	2085	71
967	2087	68
968	2089	66
969	2090	64
970	2092	62
971	2093	60
972	2095	58
973	2096	55
974	2097	53
975	2099	51
976	2102	49
977	2104	47
978	2105	45
979	2106	42
980	2108	40
981	2109	38
982	2111	36
983	2112	34
984	2114	32
985	2115	30
986	2117	27
987	2119	25
988	2120	23
989	2121	21
990	2123	19
991	2124	17
992	2125	14
993	2127	12
994	2129	10
995	2131	8
996	2133	6
997	2134	4
998	2136	2
999	2137	0
